route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
3,28030685,"Grenoble, Victor Hugo",12345-MEHLV03_ST8_3_HI2324-MEHLV04_ST8_4_HI2324-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324-MEHW04_ST11_4_HI2324,0,SEM_C3_1,1,2
C,27946861,"Saint-Martin-d'Hères, Condillac - Universités",12345-MGHLV07_ST0_7_HI2324-MGHLV09_ST0_9_HI2324,0,SEM_C_1,1,2
C,28256946,"Saint-Martin-d'Hères, Condillac - Universités",1234567-MGHS03_ST5_3_HI2324,0,SEM_C_1,1,2
3,28245862,"Grenoble, Victor Hugo",12345-MEILV08_ST21_8_HI2324,0,SEM_C3_1,1,2
D,27954404,"Saint-Martin-d'Hères, Etienne Grappe",1234567-MGHS01_ST5_1_HI2324-MGHS03_ST5_3_HI2324-MGHS04_ST5_4_HI2324,1,SEM_D_3,1,2
2,28211317,"Claix, Pont Rouge",1234567-MEHD01_ST6_1_HI2324,0,SEM_C2_2,1,2
C,27947019,"Seyssins, Le Prisme",12345-MGHLV07_ST0_7_HI2324-MGHLV09_ST0_9_HI2324,1,SEM_C_2,1,2
16,27810342,"Le Pont-de-Claix, Gendarmerie",12345-MSHLVH02_ST8_2_HI2324-MSHLVH03_ST8_3_HI2324-MSHLVH04_ST8_4_HI2324-MSHLW02_ST11_2_HI2324-MSHLW03_ST11_3_HI2324-MSHLW04_ST11_4_HI2324,1,SEM_16_2,1,2
1,27788486,"Grenoble, Cité Jean Macé",1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324,1,SEM_C1_4,1,2
C,28105499,"Saint-Martin-d'Hères, Condillac - Universités",12345-MGHLV14_ST0_14_HI2324,0,SEM_C_1,1,2
B,28232859,"Grenoble, Oxford",12345-MGHLV12_ST0_12_HI2324-MGHLV13_ST0_13_HI2324,1,SEM_B_2,1,2
